path,pred_label,confidence,p(Portraits),p(Protests),p(Casualities),p(Posts)
/content/drive/MyDrive/Data/Predict/453331508_1744896832949353_611993770853620510_n.jpg,Protests,0.8309,0.0692,0.8309,0.0467,0.0532
/content/drive/MyDrive/Data/Predict/454013761_18296533789161523_7893050192526286513_n.jpg,notlabeled,0.5624,0.2381,0.0878,0.1117,0.5624
/content/drive/MyDrive/Data/Predict/453757543_1653144382200165_536717837864607295_n.jpg,notlabeled,0.4585,0.1858,0.0982,0.2574,0.4585
/content/drive/MyDrive/Data/Predict/454163826_1167833854262996_5039129000556573103_n.jpg,notlabeled,0.6885,0.1373,0.6885,0.117,0.0572
/content/drive/MyDrive/Data/Predict/454267635_1003268041591626_5061067611605053640_n.heic,notlabeled,0.6684,0.135,0.6684,0.1327,0.0639
/content/drive/MyDrive/Data/Predict/453643515_814315577553337_5165633331937217752_n.heic,Protests,0.8099,0.0521,0.8099,0.0643,0.0737
/content/drive/MyDrive/Data/Predict/453716239_1133549488428217_113147466655944423_n.heic,notlabeled,0.5618,0.5618,0.1132,0.1873,0.1377
/content/drive/MyDrive/Data/Predict/454187478_508838961526949_8183683803762921381_n.jpg,notlabeled,0.5742,0.2477,0.1037,0.0743,0.5742
/content/drive/MyDrive/Data/Predict/453909959_467561542724367_5640108502680659146_n.heic,notlabeled,0.5795,0.1493,0.0498,0.2214,0.5795
/content/drive/MyDrive/Data/Predict/453883039_18296533786161523_346102422058050874_n.jpg,notlabeled,0.4322,0.2512,0.1459,0.1706,0.4322
/content/drive/MyDrive/Data/Predict/454142458_1152273922711072_5687922711442906660_n.jpg,notlabeled,0.4751,0.2389,0.4751,0.1106,0.1753
/content/drive/MyDrive/Data/Predict/467488383_17889257514110482_6939859103426834306_n.jpg,notlabeled,0.5069,0.2395,0.0562,0.1974,0.5069
/content/drive/MyDrive/Data/Predict/453653906_910393954439541_1097437991754011971_n.jpg,notlabeled,0.5968,0.2125,0.5968,0.098,0.0927
/content/drive/MyDrive/Data/Predict/454134188_460468223467219_3321239493078397237_n.jpg,notlabeled,0.6735,0.182,0.0534,0.0911,0.6735
/content/drive/MyDrive/Data/Predict/453767070_1145161766600303_7384191943726787854_n.heic,notlabeled,0.6028,0.1356,0.6028,0.1425,0.119
/content/drive/MyDrive/Data/Predict/453974631_486974053966476_8858574734800575521_n.jpg,notlabeled,0.6295,0.1541,0.6295,0.1213,0.0951
/content/drive/MyDrive/Data/Predict/453985768_993030412597740_6163406683541769043_n.jpg,notlabeled,0.3111,0.3111,0.3057,0.206,0.1772
/content/drive/MyDrive/Data/Predict/469879578_18165201919319389_298718449662194798_n.jpg,notlabeled,0.5224,0.2187,0.5224,0.0697,0.1891
