file,text,word_count,mean_confidence
/content/images/sample01_02/453140668_27000913199507737_2369739745539514767_n.jpg,"Mil
cIW
010
IKD
MAS SABIQOON SISTERS PRESENTS_
MODESTY INTHE
MODZRNAs?
EVERYFRIDAY | 6pM
14+
LECTURES : REFLECTION CIRCLES = SISTERSSOCHAL . CUEST SPEAKERS
ahinpon
MASL
Muslin
Soceetyan
SISTER $
MAS Youth Center
1933 Bath Avenue
718-CALLAC",37,0.4588
/content/images/sample01_02/453685292_532125592575779_1265339558246169784_n.jpg,"Hello everyone, this is
my children's daily life.
Please look at them with
compassion and help
they
them so
can live
like children. Support
them and contribute to
spreading their lives.",31,0.8214
/content/images/sample01_02/469460356_18156578179329003_8837613949417856659_n.jpg,"14
PALESTINIAN
YOuh
ulwl
uihulall
MOVEMENT
DEARBORN CALL TO ACTION:
300+ DAYS OF
GENOCIDE
WE WILL NOT STOP
WE WILL NOT REST
ART BUILD
RALLY & BANNER DROP
THURS8/1 @ 7PM
SAT 8/3 @ 1PM
RSVP FOR LOCATION
FORD WOODS PARK
5700 GREENFIELD RD, DEARBORN
BIT LY/PYM81",47,0.7785
/content/images/sample01_02/453644419_1542819599664210_8601093547249236886_n.jpg,"WArck
Ko R €
Su n stts
than
nEtfUx",9,0.515
/content/images/sample01_02/453514191_1574128259842695_9181112843160228745_n.heic,"B42'e4G
78_",2,0.0689
/content/images/sample01_02/469813696_18474590689026776_983117733778155832_n.jpg,"NRHaRea
8",2,0.4023
/content/images/sample01_02/453636795_381292794661904_7441628688971445280_n.heic,"Hidden by Instagram
4h
hate Israel
1
Unhide
Reply",9,0.7593
/content/images/sample01_02/453612544_777968764416562_6386318400257948346_n.jpg,"US SOLD ISRAEL
S11,000,000,000
WORTH OF ARMS
IN 300 DAYS
S36M EVERY DAY
SINCE OCTOBER 7
HEY US TAXPAYERS:
YOU'VE PERSONALLY
FUNDED $150 OF THAT
NOTE, THE AMOUNT OF AID SENT IS HIGHER
TRTWORLD @THEINTERCEPT",35,0.7869
/content/images/sample01_02/469894158_18464887750036516_4007364453531390343_n.jpg,"EQUALITY
for
FLATBUSH
FIGHT
GENTRIFICATIONI
HELP PAY A BLACK
FAMILY'S RENT
THIS MONTH
GIVE TODAYI
https:I/linktr ee/Equality4Flatbush
@equality4flatbush",18,0.853
/content/images/sample01_02/453667823_3776334122650536_4445062449164599587_n.jpg,"Teir
Don't
0 -
watch
the
election.
Spend
time
W
community
and
your
organize
(Vigil,
instead
rally ,
teach-in
etc. )
buy
Don't
Teir
anything
1 -
3-Don't
travel
Teir
or
use
public
carpool .
transit
or",37,0.9387
/content/images/sample01_02/467326365_17885629326139187_5992117666695020808_n.jpg,"8/18
NOT ANOTHER BOMB
NATIONAL DAY
OF ACTION
HT @R HS EIEV
bic Iymnabdayofaction
GrASSROOTS GLOBAL JUSTICE
10 MILLION RISING
NOT ANOTHER
ABOUT FACE: VETERANS AGAINST THE WAR
resourcE GENERATION
RISINg MavORITY
DEMOCRATIC SOcIALISTS OF AMERICA
MABL ELECTORAL JuStICE PROJECT
BeMB
US: CAMPAIGM FoR PALESTINIAN RIGHTS
WORKING FAMILIES PARTY
JEWS For RACIAL AND ECONOMIC JUSTICE
DREAM DEFENDERS ACTION
VOTE STCOHNOT EONICV SUpCO
TAKE ACTION MM
STATE POWER CAUCUS
GEN Z FOR CHANGE
IFNOTNOW
JEWISH VoIcE FOR PEACE ACTION
RETURN COLLECTIVE",80,0.5983
/content/images/sample01_02/453631220_1004852827762437_2141537767486616044_n.webp,"Samirah the Sapphic Siren
@sapphic_siren
Mutual aid leaves no room for ego_
You share all the resources you
have and find a way to get them
requires a
more than you have
It
community; not a savior It
requires taking action to care for
eachother: Mutual aid puts love in
practice
3:16 AM
13 Jun 22
Twitter for Android",59,0.8462
/content/images/sample01_02/469392220_18380376385108849_2481111222788735302_n.jpg,"Smedley Butler?
Who is
aka: The Fighting Quaker, Old Gimlet
Eye and Old Duckboard
lived: July 30, 1881
June 21 , 1940
served: 34 years in USMC
Navy
awarded:
Medal of Honor
Navy
Medal of Honor
Army
Distinguished Service Medal
Distinguished Service Medal
Navy
Brevet Medal
Major General Smedley Darlington Butler was
the most decorated US Marine at the time of his
death Realizing wars are fought for corporate
interests; Butler became @ critic of US war
profiteering He gave speeches in
hopes
saving
of
He ultimately wrote &
lives
young military men'$
where he explained,
book,
War is & Racket'
through his military experience, the truth about war
and the consequences of fighting them
Smedley Butler? A HERO DEFINED
Who is",122,0.8625
/content/images/sample01_02/453645858_380283155081303_4944923542204916562_n.webp,,0,
/content/images/sample01_02/453902886_507492171959190_66452212404026010_n.jpg,,0,
/content/images/sample01_02/453334941_1611281972750283_844017969349971335_n.jpg,,0,
/content/images/sample01_02/451377335_537871401901945_4849528883092574500_n.jpg,"Silas P Silas
Follow
@KennySpenceNBA
A woman boxer is getting criticized for beating
another woman boxer; by people who don't
bat an eye when actual men hit women
8/1/24 from Earth
3.05 PM
34K Views",35,0.7742
/content/images/sample01_02/453887905_1897746240711238_3460441965745305498_n.jpg,"Before
After
@innerli
hhtessences
Agriculture as 3rd in their infrastructure damage report
UN detailed
This is where Yousef's Greenhouse was. It was destroyed by occupation
forces and the area razed by heavy equipment",33,0.8987
/content/images/sample01_02/453445014_1521753208549268_1883955203639646564_n.heic,"SATURDAY AUGUST 3
NATIONAL DAY OF ACTION
AGAINST CALTEX
Caltex North Laverton
12 pm
11am
1/11 Little Boundary Rd; North Laverton
Caltex Springvale
12 pm
10 am
159-171 Springvale Rd, Springvale
Caltex Reservoir @ 830 am
I1am
613 Gilbert Rd, Reservoir
Caltex South Preston
11.30 am
9am
24 Plenty Rd, Preston
Caltex Preston
9 am
11.30 am
71 Murray Rd, Preston
Caltex Bendigo
10 am
12 pm
189-191 McCrae St, Bendigo
#BoycottCaltex",72,0.8467
/content/images/sample01_02/453943042_1067303164729555_3793934845721700337_n.webp,"Jorge Antonio Salhe
MJ
Bethlehem
49y
24
MEN'S SKEET
FRI 2 AUG
QUALIFICATION
7.3OPM NZST",15,0.7508
/content/images/sample01_02/453669372_851654053582882_4206252328162031605_n.jpg,"ALA
COURT WATCH
AWARE!
BE
The possibility of counter
protests; media; and
doxing agents exists:
Let's keep one another
safe while centering the
needs of those facing
HlU charges 
FoR
VE
WBO",32,0.674
/content/images/sample01_02/453269059_374829508975843_1519741602327956317_n.heic,"Hidden by Instagram
3h
Serial rapists cannot be cured.
Pedophiles that traffic kids cannot be
rehabilitated_
They
are lost_Zionists are completely
bent on conjuring Hell.
Unhide
Reply",27,0.8932
/content/images/sample01_02/453691084_490067690280251_9174415845805572054_n.jpg,"8/29
BARB MORRISON, BENJAMIN
ROSE, & MADDIE BATZLI
6
IN STORE
THURSDAY
6PM",13,0.8573
/content/images/sample01_02/468241211_17898486876094114_4567978370108755068_n.jpg,"SATURDAY AUGUST 3
NATIONAL DAY OF
ACTION
AGAINST
CALTEXO
Caltex (owned by Chevron) is profiting
from the genocide in Palestine.
Join the peaceful rally this Saturday
August 3 at Caltex petrol stations to
call on them to stop fuelling genocide:
Details in carousel:
#BoycottCaltex",44,0.8344
/content/images/sample01_02/453703455_885252676957234_6017095047434216522_n.heic,"3/6
Soledad Brothers
Black prisoners made reasonable and legal requests of
thc District Attorncy, thc arrest of Miller, thc shooter,
and
grand jury investigation:
#4SOLEDAD
EbrojHER
Thc Montercy County DA waitcd thrce days bcforc
announcing his ruling: the deaths of the three men; who
were Black men leading the call for civil rights reform
inside Soledad and for other prisons,
were ruled
probablc justifiablc homicide by
public officer in the
performance
his duty.
white guard
was thrown
One hour later;
John Mills_
over an upper tier in the
wing; he died in the prison
hospital without regaining consciousness.
Even though there was no evidence; George Jackson
Fleeta Drumgo
and John Clutchette
accuscd of killing
prison guard in retaliation for Nolen's dcath: Thc thrcc were put on
WCrc
trial and became known as the Soledad Brothers_
LED BY GEORGE JACKSON THE SOLEDAD BROTHERS DEFENSE COMMITTEE INCLUDED
FAYE STENDER; GEORGIA JACKSON AND ANGELA DAVIS_
Stender introduced Jackson to Bantam editor Gregory Armstrong who would publish Soledad
Brother: The Prison Letters of George Jackson; and Jean Genet who wrote the foreword to
Soledad Brother.
ELACK
AUGUST",183,0.7727
/content/images/sample01_02/453896461_813213174257870_9085146443890171173_n.webp,"Hacemosunllamadoatodocolectivosy
personadelasociedadcivladifundirloque
sucedeenlamontanadeGuerreroa
Nopodemospermanecercalladosanteel
intentodeexterminiodeunPueblo
Nopodemospermanecersosegadosanteel
asesinato,ladesaparicionylaviolencia
permitidaporelEstado
LA' FLOR DE WA 'PALABRA FLORECERA
ALCOZACAN;
EN-LoS Nios DE
oS
'DERECHOS
CIFOGEEZ:
NQSE Fiden
SETonNN EZlN)
Le LCHAES POR LA
Cni
MIDA
Mbrenatri
Memuld 4 Lhcitad",35,0.548
/content/images/sample01_02/471468268_18479738257022994_7147512693320176964_n.jpg,"jvpboston
Jyp b05T0M
You can silence
algorithms but
people
never
(948
The ruling and summaries:
Read Wwicj_cij_ogkcase/186
family
Share with friends &
Contact your reps to tell them to STOP ARMING ISRAEL
AdvocateMA rep-specific call scripts and phone numbers from MA
Muslims for Justice: bit ly/MAGazaScripts
Get JVP-Boston org/calendar
BOSTON
JVP
Involved",52,0.7827
/content/images/sample01_02/468833743_18089563930518946_5280154289407949267_n.jpg,"S H A HA D A
Spit
0 F
THE
BILAL
WARE
DR.
@Fallgraphlcs",14,0.7037
/content/images/sample01_02/453625463_871230488194152_4612579232191822257_n.jpg,"(IBFHD
@Uk
RAWBou
#ARBEIIR
Nol
CAPTALSH
NDR
Pinkwashing
ning",9,0.3885
/content/images/sample01_02/453425088_1222718568747060_7461603778253543694_n.jpg,"SCRIBE
HEAD
THE
MILO (HE/THEY/IT)
~SOPHOMORE
~BBH AND FINE ARTS MAJOR
~FROM STATE COLLEGE, PA
BASSIST FOR RUSTBELT REBELLION, LOVES POETRY",21,0.911
/content/images/sample01_02/453848775_1164716791448722_8915633867046787105_n.jpg,"You
Tezraffau
Camp Netus
Beyondthe
ohizon
Tainotes @egacy
Summer 2024",10,0.367
/content/images/sample01_02/453629238_18449846605056711_8957672670341079377_n.jpg,"MMN
PNN
0T",3,0.2813
/content/images/sample01_02/453649577_2755268901315817_2722608748421697697_n.jpg,BELLADONNOBSURA,1,0.1867
/content/images/sample01_02/453788835_1016608102995626_7292650013812811062_n.jpg,"IOCESNEWS
IBALTIMORE
CAiR
'AMZabe",4,0.5607
/content/images/sample01_02/469402781_18000859877701449_6293430797493196267_n.jpg,"ENVIRONMENTAL CAUCUS,
HAWAII CLIMATE AND
ENVIRONMENT COALITION
AND CRI PRESENT:
PAT ELDER
DIRECTOR,
MILITARY POISONS
ON 11-29-22, THE NAVY SPILLED 1,300
GALS. OF PFAS AT RED HILL; WHAT
CAN BE DONE TO PREVENT PFAS
FROM ENTERING OUR FOOD CHAIN?
HOW MUCH PFAS IS IN THE FISH WE
EAT AND WATER WE DRINK & HOW
CAN WE SAFEGUARD AGAINST PFAS
CONTAMINATION AND POISONING?
Saturday, August 3,2024, 6:00 p.m_
https:/[usozweb.zoom.us/j/5454044883?
omn-84681131137
Pat Elder is the Director of Military Poisons; an
organization that educates the public concerning the
military's contamination of the environment and threats to
organization advocates for legislative
human health. The
and regulatory solutions to protect human health: Military
testing water and
Poisons has been active in 20 states
seafood and lobbying federal and state agencies. See
WWWmilitarypoisons org",128,0.8308
/content/images/sample01_02/453648162_318725004563932_8245389759950377971_n.jpg,"ThE
DESL
POLITICS
MGER
stand
We
Evevy Lie
wjth
del
ouro
js
G
to Ille kruk
students
Sane?
Uta?
(4'
tle &bt is
Sourcel THE GUARDIAN
BANGLADESH NEWS
Bangladesh arrests more than
10,000 in crackdown on
protests
(READ CAPTION FOR MORE)",41,0.6022
/content/images/sample01_02/453599672_17868442287160737_1893498638431877089_n.jpg,2023,1,1.0
/content/images/sample01_02/475794818_18479356477010201_5148395311651284227_n.jpg,"dm;
1492I
Wakt9aqA",3,0.2833
/content/images/sample01_02/453589534_1241469973652998_1597582639359018117_n.jpg,,0,
/content/images/sample01_02/475983290_18479356348010201_7894362245455782692_n.jpg,,0,
/content/images/sample01_02/453639891_476439218360787_7573088061669628465_n.jpg,"3762
LNZPR
10 bulan setelah perang:",6,0.5884
/content/images/sample01_02/453337327_456409970684201_5947169848576746308_n.jpg,"ALUl @a AlsLy Jsgl 9J4il
Imagine if your children were
eating garbage",12,0.6053
/content/images/sample01_02/453619888_336529126200907_6833819729033641712_n.jpg,"8/8
KATIE TASTROM &
LACHRISTA GRECO
People's
Guide
to
Abolition
and
Disability
Justice
Katie Tastrom
IN STORE
6PM
THURSDAY",19,0.9335
/content/images/sample01_02/503638419_4338487739805972_5178913350140042614_n.jpg,,0,
/content/images/sample01_02/468288122_18047880716484020_7797590694816879885_n.jpg,"PHRAJuly 31
Day of Action
M
KA
Statement
We denounce the recent visit of U.S. Defense Secretary
Lloyd Austin and Secretary of State Anthony Blinken to the
Philippines this week, where the U.S. announced $500M USD
in foreign military funding during a ""2+2 Ministerial Dialogue""
with Philippine Defense Secretary Gilberto Teodoro and Foreign
Affairs Secretary Enrique Manalo.
Rangulo
This is just the latest
%
9
3
example in an
I9vS
escalation of U.S:
military
appropriations to the
Government of the
Republic of the
Philippines and to the
Armed Forces of the
Philippines (AFP):
Antony
US Secretary of State
Blinken; left; attends a meeting with Philippines
President Ferdinand Marcos Jr. at Malacanang Palace: (PHOTO: Taipei Times)",115,0.7614
/content/images/sample01_02/453646265_955451672932306_82695594689897033_n.jpg,"SAVE LIVES
IN NORTH GAZAW",5,0.8759
/content/images/sample01_02/453521727_1994743577647782_282164380176054965_n.jpg,"Yall ""own toclown""
unti it s timeto
OVEETAR
TNE
GOvERNMEENTC",10,0.4001
/content/images/sample01_02/453828587_990454199447202_9099019399333335210_n.jpg,"Free
Paestie",2,0.3034
/content/images/sample01_02/453652670_17942406251845993_4235425771618198807_n.jpg,"TAKE ACTION
ChL)
download
UNPAUSE
NYC
Sam and Shaan
congestion pricing
Unpause NYC: Demand the Governor to start
now
climate policies
Congestion pricing is a tax on vehicles entering Manhattan south of 6Oth St. It's projected to reduce
auto emissions by 17%. We demand Kathy Hochul to implement congestion pricing now: Learn more
on our site: https:Ilunpause.nyc
SHARE A
EMOJI TO RECEIVE THE
LINK TO TAKE ACTION IN YOUR DMS",70,0.8125
/content/images/sample01_02/453595987_18021532670459639_4624271388608308231_n.jpg,"AEcOrt#ntdwu
ROXBURI
DESERVES
THE
 BLACK (
SAY!
4
Belt
'ThESIS: |
NNder
Boston Liberation Center",15,0.5173
/content/images/sample01_02/469023791_17896562616097135_3101685271149722353_n.jpg,"1
THE
END
SIEGE
CHZ
ON
NOW
osl
U",9,0.4525
/content/images/sample01_02/453690353_827446639351813_6572460391730178186_n.jpg,"6
Ra
56
Deevi
Um",5,0.1877
/content/images/sample01_02/453592946_1478303186380749_6789682084937650921_n.jpg,"[They referred to]
my
Sunt
aS an unknown martyr",9,0.784
/content/images/sample01_02/453653934_1041701611296282_6302569142293696287_n.heic,"AUGUST 4TH
6PM at the Che
SOBER
LEECHBATR
SPACE%
81o
Atic
@RPON",12,0.6427
/content/images/sample01_02/453792449_848361730213266_5346821373115776647_n.jpg,"August is
AMERICAN
MUSLIM
APPRECIATION
AND
AWARENESS
MONTH
Celebrating the Contributions of
California Muslims",14,0.979
/content/images/sample01_02/453643803_18021532625459639_3406352977693975356_n.jpg,"AE
PSL
JOIN the_
VOTE
SOCIALIST _
'CUBA!
Must
THE
EVOLUTION
SEA
ISRIS
UNF 05
SO
MUST
W
080a
URPOW
alism <
BERATION
HESTRI
LAW",25,0.6682
/content/images/sample01_02/453875235_3709439062650505_317128711864237659_n.jpg,"Sophie Hahn; Berkeley mayoral candidate
Is Zionism Killing Berkeley?
Flipside Editorial Series
flipsrde
#Photo is real, flag has been added",20,0.8375
/content/images/sample01_02/453873687_1196095251636918_4791636200011535548_n.jpg,"300+ DAYSOFGENOCIDE
yLJ Ji 639 0
Siuell
Yc
~lgji
Sujodl
G9Hil &2 2913I1
Ijga huugijl
di
Ussi
dsi
Dbelu *
0^
04
'srul;9ULv
uwei_
3 eJJi
sLua 2acLji
16TH & MISSION
BART PLAZA",33,0.4041
/content/images/sample01_02/453789373_448707838136698_6219147416392247707_n.webp,"eEnflGicaD
FOREHEAD
KISS
DEFICIENT",4,0.667
/content/images/sample01_02/453749335_1001705235078686_3390061306185505809_n.jpg,"P R E 3 E N | 3
2024
HANIhorNE
@ FEMILY
rEUNION
Wcs
Hawlhpr !
Montgomery
Park
WES MONTGOMERY PARK
34TH & HAWTHORNE
August 17TH
3PM
Music Bv: THE GREATEST DJS",32,0.6533
/content/images/sample01_02/475361643_18481614994010960_1227464068163617340_n.jpg,"Where is my family?
Shock",5,0.9457
/content/images/sample01_02/453711093_507842881766735_2546005444853884001_n.jpg,"7
'AVA?
KAJ",3,0.3062
/content/images/sample01_02/468412972_18250802887274903_7777487500617468483_n.jpg,"(rCOVG
pined
DAUM
HAUTBC
HAUTELOT
SYP & SWERL
L'il Queer Tie-Dye Party
FRIDAY, 8/2
6-1OPM
SPARKLY MOCKTAILS, TIE-DYE, HAUTE
DAYUM FOOD TRUCK, MUSIC & MORE!
204 W MarshaLL St.
RIGHT NEXT TO GALLERY 5",34,0.6462
/content/images/sample01_02/453589355_1661948691043947_4240543595610205062_n.jpg,"disclaimer:
for
vote
Stop
want
whoever
you
arguing .
unsatified
If
with
9
you
re
candidate options
the
use
9
this
strike
another
as
opportunity
tell
the
to
feel
govt
how
you",32,0.9528
/content/images/sample01_02/453693381_1199451928173421_4914825603888570891_n.jpg,"@Heritage
Yes we do. Keeping trans content away from
children is protecting kids. No child should be
conditioned to think that permanently
damaging their healthy bodies to
try
to
become something they can never be is even
remotely a good idea:
Florence Ashley @ButNotTheCity
4d
The Heritage Foundation openly states that
theyIl use bills purporting to protect kids to
instead attack trans content, saying it'$ posing a
risk of social contagion: This is super
concerning; especially given that the bills have
bipartisan support We need to speak upl",88,0.7929
/content/images/sample01_02/453743670_861166382017801_5419725514548038395_n.jpg,"TikTok
@jonkiperfornhgovernor
Go
NEWIMARKET RESTAURANT & BAR OWNER RUNS
FOR GOVERNOR TOADDRESS HOUSING Crisis",14,0.615
/content/images/sample01_02/451802843_1020372012623654_2913807562466606797_n.jpg,"@RE
28
Sonya
Massey
HARAM",5,0.742
/content/images/sample01_02/453728700_3692612334285916_3449193044849910060_n.jpg,"Jegaa
IN",2,0.3458
/content/images/sample01_02/453501873_1501605180724276_227618906431642397_n.jpg,"Mesa
White
Urani
Pinyon Plain Mine (formerly Canyon Mine)
EARS
BEARS
WHIt
Uranium Transportation Route to
NATIONAL
MONUMENT
White Mesa Mill
BLUFF
River
Juan
Utah
San
{191f
Lake Powell
MEXICAN WATER
CTU
DENNEHOTSO
2
KAYENTA
AWAAVJO
A RIZ O N A
(KuKvENI 
J
KAIBAB
NATIONAL
FOREST
160
Black Mesa
BAAJ NWAAVJO
NAVAJO NATION
I""TAH KUKVENI
GRAND CANYON
GRAND CANYON
IVA SUPAI
NATIONAL PARK
TUBA City
NATIONAL MONUMENT *
TRIBE
1191(
MOENKOPI
KAIBAB
Hopi
NATIONAL
CAMERON
FOREST
TRIBe
Utah
White Mesa
GRAY MOUNTAIN
Pinyon Plain
Plain Mine
on
(formerly
Painted
Arizona
89
Desert
anyon Mine)
Red LAKE
Little 
 Colorado
PARKS BELLEMONT
GRAND CANYON
WILLIAMS
TRUST
 River
40
FLAGSTAFF
KAIBAB NATIONAL
MAP 8Y STEPHANIE SMith
FOREST
CocONINO NATIONAL
""Baaj Nwaavjo",118,0.8078
/content/images/sample01_02/453836142_802800832045212_4406335835532586111_n.webp,"Ijust wanna keep being
proof that good people
with no hidden agendas
still exist in this world:",17,0.9417
/content/images/sample01_02/453796694_369503766180787_1876167361501358274_n.jpg,"HER
ESAY
NAME
SONYA
MASSEY
WB
workers.4rg",7,0.648
/content/images/sample01_02/453714458_1414018532615734_2293163159958243022_n.jpg,"G6
Waywardness is a practice of possibility at a
time when all roads, except the ones created
by smashing out, are foreclosed. It obeys no
rules and abides no authorities. It is
unrepentant: It traffics in occult visions of
other worlds and dreams of a different kind
of life. Waywardness is an ongoing
exploration of what might be; it is an
improvisation with the terms of social
existence, when the terms have already been
@BELLADONNAOBSCURA
dictated, when there is little room to
breathe, when you have been sentenced to a
life of servitude, when the house of bondage
looms in whatever direction you move. It is
the untiring practice of trying to live when
were never meant to survive.
you
Saidiya Hartman; Wayward Lives, Beautiful
Experiments: Intimate Histories of Riotous Black
Girls, Troublesome Women, and Queer Radicals",137,0.7717
/content/images/sample01_02/453655689_18469518238034796_5691239272987613377_n.jpg,"EXT
RLSOUUrOMCXt",2,0.2275
/content/images/sample01_02/453881894_18469518247034796_5014932519965575827_n.jpg,"Yak|
PNUISZ SWEEts /
LDEMI",5,0.1631
/content/images/sample01_02/453630782_478563398121938_7978206684060750418_n.webp,"ojibwa
the crushing
of being unproductive vs the
guilt
exhaustion of being burned
out.
fight.",15,0.8346
/content/images/sample01_02/453592700_8249725718391139_3171318907007695570_n.webp,"be like ""who knows
and ! be the one
knowing
@ladvoithelamps",11,0.7946
/content/images/sample01_02/453639253_1017408413185100_5687221554604150515_n.webp,"Mornings are when I do
my best work creatively",9,0.8715
/content/images/sample01_02/453639054_1052574119833413_8208534050798091504_n.jpg,"66
The possessive investment in whiteness
can't be rectified by learning ""how to be
requires
radical
more antiracist.
It
a
divestment in the project of whiteness and a
redistribution of wealth and resources. It
requires abolition, the abolition of the
carceral world, the abolition of capitalism:
required is a remaking of the social
What is
(@BELLADONNAOBSCUPI
order; and nothing short ofthat is going to
make a difference.
Saidiya Hartman
Tags: abolition, antiracism, capitalism,
whiteness",74,0.8009
/content/images/sample01_02/453503195_17986578998701033_8092845420714931907_n.jpg,"lofteeta coitintomi
Ktor Tit comuttiohi
IHUMEOLbT CARK KUMEOLLT [ARK 
Uricnatstactoki StEAKQUTI
iCIERRA LA
DNC
Shut DownThE
PoR GAZAI
DNC FOR GAZAI
FCHAGCSUAUS
Cai oRa}- BVSSICH
AcUST""
Aemi
CAJRKi E DIVISION",30,0.2298
/content/images/sample01_02/453770862_1208538930150683_7296667199829398747_n.jpg,"GCFA DISASTER
RELIEF FUND
Available Assistance
Housing Assistance
Catastrophic Damages Assistance
Other Needs Assistance
View the link below for more information and eligibility requirements_
More Information
WWWcalfac org/join-cfal#DisasterReliefFund
membership@calfac.org",29,0.9056
/content/images/sample01_02/468992422_17896562802097135_8621993982894625213_n.jpg,"Uili
We
(5995 ,
Psjj =
td
Oiok
Sk;=
Onk;
liwes
Jac
Shuls
(ke
IS
ONE
No
FREE
~shull
PALES TINE
TILL
6;
ISGREE
0104 )",26,0.5411
/content/images/sample01_02/452427963_445861475111598_4572823569069053252_n.jpg,"SHa54
4
WAR
MACHINE",4,0.7052
/content/images/sample01_02/453548483_1651889655602651_2142132268128158027_n.jpg,ShOt,1,0.5559
/content/images/sample01_02/453586570_7533479083422522_4850696335391044633_n.jpg,"TikTok
condoinonos
free Palestine free Congo
2 3",8,0.7896
/content/images/sample01_02/453617003_1374001383559535_9018857144629438720_n.jpg,,0,
/content/images/sample01_02/453700568_396668309669687_3792428469258866153_n.jpg,"Post
U.S. Special Envoy for Sudan Tom: _
@USSESudan
Today, famine was officially declared in the Zam
Zam camp near El Fasher by the Famine Review
Committee_
Actions by SAF and RSF
their
refusal to allow humanitarian access and
has created this hunger
insistence on fighting
crisis.
8/2/24 From Earth
2.31 AM
15K Views
9 Quotes 79 Likes
9 Bookmarks
49 Reposts",62,0.8701
/content/images/sample01_02/452973568_1032516208137057_5694587744111443825_n.jpg,"A new report from HRW alarms on
GENERAL KNOWLEDGE
sexual violence in Sudan:
Human Rights Watch has published a report
on  sexual   violence   committed  by  the  Rapid
Support Forces in Khartoum; Sudan
'Khartoum is not Safe for Womenl"", is based on
The report; titled
testimonies from healthcare workers, social workers, counsellors,
lawyers; and emergency response volunteers:
sexual violence inflicted
It documents widespread
on
women
and girls aged 9 to 60, including rape, gang rape, and forced
marriages, as well as child marriages Men and boys are also
victims. Survivors face significant barriers to accessing essential
emergency healthcare and psychosocial support due to attacks
on healthcare facilities, restrictions on civilian
movement; and
the deliberate obstruction of aid.
Human Rights Watch, AP News, Al Jazeera, CNN VOA
Africa, The Guardian
BAOBAB OPERATION",130,0.787
/content/images/sample01_02/452895904_18448529671057716_1514865526682281343_n.jpg,,0,
/content/images/sample01_02/453691088_986016073534283_1481956138043693886_n.jpg,"""Nothing ends a
negotiation on
killing
ceasefire more than you actually
the person opposite side of you at the
negotiating table """,22,0.8579
/content/images/sample01_02/453889067_493179123296707_6656344858997542145_n.webp,"It's always the muthafuckas with nc
magic trying to tell you what to do =
yours_",16,0.7029
/content/images/sample01_02/453625802_18449846596056711_2981150403296938643_n.jpg,,0,
/content/images/sample01_02/453476527_17986579091701033_2403606064484291740_n.jpg,"C
7 /
LAS
MASCARILLAS
SON
OBLIGATORIAS
LALLADF
MAS
CONVENTIONI
iDETEN
HHUMBOLDT PARK
Stop The CONVENTION'
luccolDTD EH MTELcoNI
Iseexkout 
iCIERRA LA DNC
Por GAZAI
ThE
DOWN
SHUT
DL Lcosiolladm
GAZA!
DNC FOR
cotrousY DiiSON
Ae
AUcUsr
Diviion
8
catrora",40,0.4663
/content/images/sample01_02/453528483_3876630982569237_2697084874572053696_n.jpg,"&lol
J9aj
Us",3,0.2737
/content/images/sample01_02/453646244_3502386903392648_985302036016745329_n.webp,"JUSTICE /S OuR //""
MO PEACE ON ""eae",8,0.0321
