file,text,word_count,mean_confidence
/content/Sample_images/sample01_02/453796694_369503766180787_1876167361501358274_n.jpg,"MOO
WWP
MASSEY
SONYA
NAME
HER
SAY
#",8,0.8917
/content/Sample_images/sample01_02/453619887_3609634389299051_3871404426029350807_n.jpg,"kman4545 28m
I got a whole lot of nothing there but i can
say the world will be a better place with
ismail gone
*
Reply
Hide
markwaynedirector 2s
@kman4545 I just finished dinner...so
I'm feeling too lazy right now to
engage in my favorite hobby of
bulying a member of the church of
ziontology, so I'll just put this out
there: you DO realize israelis are
currently protesting for their right to
r@pe...?
You're aware of that???
Like.….right now..they're in the
streets...protesting for their national
right to r@pe people.... Is THAT the
side of history you really wanna brag
about??
Reply",102,0.9756
/content/Sample_images/sample01_02/468421026_18250802884274903_985404056340333864_n.jpg,,0,
/content/Sample_images/sample01_02/469583845_17989072184754650_437242701298191130_n.jpg,"NW
FOR
LABOR
PALEST/NE
WORKERS
MN
WORKERS
UNITED
UNITED
AND FILE UNION MEMBERS STAND AGAINST GENOCIDE
GENERAL
MEETINGS:
August
5th
&
26th
7:00pm
4200 Cedar Avenue, Minneapolis
Minnesota Workers United (MWU) is a grassroots
organization of union members, labor activists, and
community members working to build a fighting, class-
struggle unionist labor movement across the state.
MWU meets every other Monday at 7:00pm at
4200 Cedar Avenue, Minneapolis
Masking requested",70,0.9906
/content/Sample_images/sample01_02/453802964_18414023605075921_6023864116117350426_n.webp,"u u11an I
Hiroshima-Nagasaki Remembrance
Saturday
7 pm to
August 3, 2024
9 pm
Lovers Point Cove, Pacific Grove, CA
This peaceful and moving tradition honors those who suffered and still suffer
from the atomic bombings in 1945. The ceremony reaffirms our commitment
to a nuclear-weapons-free world so that such a tragedy is never repeated.
7:00 pm: Lantern making and Taiko Drumming
7:45 pm: Music and messages of Hope and Peace
Keynote Speaker: Sharat G. Lin, PhD
8:15 pm: Launching of the Peace Lanterns
Sponsored by Women's International League for Peace and Freedom, Monterey County Branch.
Co-sponsored by the City of Pacific Grove, the Peace Coalition of Monterey County, Monterey
Peninsula Friends Meeting (Quakers), Veterans for Peace Chapter 46,
Monterey Peace and Justice Center, and Pacific Grove Adventures. Contact (831) 899-7322
PACIFIC
GROVE
Free Event
ADVENTURES
Kayaks loaned by
Peace Lanterns
Pacific Grove Adventures
Photo credit:
Lovers Point, CA
 LOVERS POINT. CA
Margaret Maria Cordts
Monterey
MONTEREY
WILPE
PCMC
Peninsula
Friends
Meeting
Chapter 46
Religious Society of Friends
Monterey, CA 93955
(Quakers)",172,0.9719
/content/Sample_images/sample01_02/469792437_18049293224319338_4670702261531249218_n.jpg,,0,
/content/Sample_images/sample01_02/453216518_18047198287850499_3572050458206436470_n.jpg,"canvass
for
Cori!
JENN
ISE
with
Jews for
Cori
JEWS
JEWS
JEWS
ECORI
ECORI
CORI
COR!
EECORI
BUSH
Sunday,
August 4th
JSH
10:00am,
, 2:00pm, 5:00pm
Heman
Park
- Midland Entrance
1028 Midland Blvd
070
JEWS
University City, MO 63130
NORND8
JEWS
2
CCORIBUS
COR
ECORI
BUSH
U.S. CONGRESS * MO-
Jews for Cori GOTV
Canvass!
Canvass
Sunday, August 4
10am, 2pm, 5pm CDT
Heman Park - Midland Entrance
1028 Heman Ave
Universitv City, MO 63130",76,0.945
/content/Sample_images/sample01_02/453841982_805364938469599_4129073676181373421_n.jpg,"@innerlightessences
No aid into North Gaza for over 3 Months, Harvests from Yousef
feeds 200 families. This can continue while Yousef is supported
to be able to recover efficiently.",29,0.9827
/content/Sample_images/sample01_02/469155611_18042289502237475_4517939945479397965_n.jpg,"CAMPLRX
1/2024
#ceasefirenow
#freepalestine",4,0.8837
/content/Sample_images/sample01_02/453631228_514758367763352_8418365361114901909_n.webp,*PYZEL,1,0.4518
